school_id,ncessch,school_name,entry_grade,projection_year,projection_type,grade,projected_enrollment,generated_at,survival_rate_min,survival_rate_median,survival_rate_max,entry_grade_low,entry_grade_high,entry_grade_median
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,min,Grade 6,7,2025-06-13T16:45:29.515892,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,min,Grade 7,6,2025-06-13T16:45:29.515894,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,min,Grade 8,5,2025-06-13T16:45:29.515897,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Kindergarten,14,2025-06-13T16:45:29.515899,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 1,10,2025-06-13T16:45:29.515902,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 2,10,2025-06-13T16:45:29.515905,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 3,11,2025-06-13T16:45:29.515907,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 4,9,2025-06-13T16:45:29.515910,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 5,6,2025-06-13T16:45:29.515913,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 6,6,2025-06-13T16:45:29.515915,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 7,7,2025-06-13T16:45:29.515918,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,min,Grade 8,3,2025-06-13T16:45:29.515920,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Kindergarten,14,2025-06-13T16:45:29.515924,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 1,11,2025-06-13T16:45:29.515927,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 2,10,2025-06-13T16:45:29.515932,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 3,13,2025-06-13T16:45:29.515935,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 4,10,2025-06-13T16:45:29.515938,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 5,8,2025-06-13T16:45:29.515940,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 6,10,2025-06-13T16:45:29.515943,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 7,16,2025-06-13T16:45:29.515945,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,median,Grade 8,7,2025-06-13T16:45:29.515948,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Kindergarten,14,2025-06-13T16:45:29.515951,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 1,10,2025-06-13T16:45:29.515954,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 2,11,2025-06-13T16:45:29.515956,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 3,11,2025-06-13T16:45:29.515959,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 4,11,2025-06-13T16:45:29.515961,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 5,6,2025-06-13T16:45:29.515964,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 6,9,2025-06-13T16:45:29.515966,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 7,10,2025-06-13T16:45:29.515969,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2023-2024,median,Grade 8,9,2025-06-13T16:45:29.515971,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Kindergarten,14,2025-06-13T16:45:29.515974,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 1,10,2025-06-13T16:45:29.515977,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 2,10,2025-06-13T16:45:29.515982,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 3,12,2025-06-13T16:45:29.515984,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 4,9,2025-06-13T16:45:29.515987,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 5,7,2025-06-13T16:45:29.515989,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 6,6,2025-06-13T16:45:29.515991,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 7,9,2025-06-13T16:45:29.515994,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2024-2025,median,Grade 8,5,2025-06-13T16:45:29.515997,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Kindergarten,14,2025-06-13T16:45:29.515999,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 1,10,2025-06-13T16:45:29.516002,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 2,10,2025-06-13T16:45:29.516004,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 3,11,2025-06-13T16:45:29.516007,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 4,10,2025-06-13T16:45:29.516009,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 5,6,2025-06-13T16:45:29.516014,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 6,7,2025-06-13T16:45:29.516016,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 7,6,2025-06-13T16:45:29.516019,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2025-2026,median,Grade 8,5,2025-06-13T16:45:29.516022,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Kindergarten,14,2025-06-13T16:45:29.516027,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 1,10,2025-06-13T16:45:29.516030,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 2,10,2025-06-13T16:45:29.516033,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 3,11,2025-06-13T16:45:29.516035,1.0909090909090908,1.0909090909090908,1.0909090909090908,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 4,9,2025-06-13T16:45:29.516038,0.8125,0.8125,0.8125,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 5,6,2025-06-13T16:45:29.516040,0.6428571428571429,0.6428571428571429,0.6428571428571429,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 6,6,2025-06-13T16:45:29.516045,1.0666666666666667,1.0666666666666667,1.0666666666666667,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 7,7,2025-06-13T16:45:29.516048,1.0,1.0,1.0,,,
1912059,00000033,St James Catholic School,Kindergarten,2026-2027,median,Grade 8,3,2025-06-13T16:45:29.516051,0.5384615384615384,0.5384615384615384,0.5384615384615384,,,
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Kindergarten,15,2025-06-13T16:45:29.516054,0.9655172413793104,1.0,1.0344827586206897,14,15,14
1912059,00000033,St James Catholic School,Kindergarten,2022-2023,max,Grade 1,11,2025-06-13T16:45:29.516057,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,
