location_point_id,address,city,state,zip_code,latitude,longitude,school_count,school_ids
1825787,4169 Pruden Blvd,Suffolk,VA,23434.0,36.7842072,-76.64425349999999,10,"2039406,2041409,2041411"
1720613,100 Peabody St NW,Washington,DC,20011.0,38.9618846,-77.01267469999999,9,"1960443,1960444,1960445"
1720905,421 P St NW,Washington,DC,20001.0,38.91034150000001,-77.0179431,9,"1960423,1960428,1960430"
1720935,4600 LIVINGSTON ROAD SE,Washington,DC,20032.0,38.824023,-77.0030063,9,"1960500,1960519"
1720943,4801 Benning Rd SE,Washington,DC,20019.0,38.8825112,-76.9343276,9,"1960421,1960422,1960425"
1720961,5300 Blaine St NE,Washington,DC,20019.0,38.8920293,-76.9251073,9,"1960433,1960435,1960436"
1767459,711 NORTH GRAND AVENUE,ST. LOUIS,MO,63103.0,38.6406106,-90.2307253,9,"1994264,1994265,1994294"
1803881,CARR 3 KM 156 HM 0 BO COQUI,SALINAS,PR,751.0,17.9686524,-66.2512491,9,"2048483,2048817"
1804110,CARR 863 KM 0 HM 9 BO PAJAROS,TOA BAJA,PR,949.0,18.4426682,-66.2536215,9,"2048453,2048933"
1825718,104 VSDB Dr.,Staunton,VA,24401.0,38.1504465,-79.0640201,9,"2039478,2039479,2039480"
1825939,2001 Concert Dr.,Virginia Beach,VA,23456.0,36.7793959,-76.1005934,9,"2041513,2041520"
1720607,100 41ST STREET NE,Washington,DC,20019.0,38.8910885,-76.9455196,8,"1960457,1960459"
1720629,111 O STREET NW,Washington,DC,20001.0,38.908906,-77.0132282,8,"1960279,1960281"
1720660,1345 POTOMAC AVENUE SE,Washington,DC,20003.0,38.8793794,-76.9868077,8,"1960273,1960276"
1720720,1800 PERRY STREET NE,Washington,DC,20018.0,38.9357833,-76.9770923,8,"1960286,1960520"
1720811,2959 CARLTON AVENUE NE,Washington,DC,20018.0,38.92962,-76.9665856,8,"1960274,1960275"
1720853,3401 4th St. SE,Washington,DC,20032.0,38.8391052,-77.0013865,8,"1960342,1960394"
1720932,4501 KANSAS AVENUE NW,Washington,DC,20011.0,38.9457286,-77.0223982,8,"1960450,1960451"
1720956,5200 2ND STREET NW,Washington,DC,20011.0,38.9540539,-77.0139955,8,"1960292,1960293"
1720968,5600 EAST CAPITOL STREET NE,Washington,DC,20019.0,38.890369,-76.92079,8,"1960285,1960289"
1720975,5800 8TH STREET NW,Washington,DC,20011.0,38.9614175,-77.02487099999999,8,"1960446,1960447"
1720996,645 MILWAUKEE PLACE SE,Washington,DC,20032.0,38.8476238,-76.9970149,8,"1960269,1960280"
1721023,725 19TH STREET NE,Washington,DC,20002.0,38.897825,-76.97620719999999,8,"1960271,1960272"
1752738,2000 Edgewood Street,Baltimore,MD,21216.0,39.3100938,-76.67725469999999,8,"1982700,1982702,1982705"
1767785,Koblerville,Saipan,MP,96950.0,15.123425,145.7065051,8,"2048190,2048191"
1767786,Oleai,Saipan,MP,96950.0,15.167406,145.7099153,8,"2048172,2048174"
1767787,San Antonio,Saipan,MP,96950.0,15.1312791,145.69436,8,"2048166,2048184"
1823862,606 S. Lexington Avenue,Covington,VA,24426.0,37.7840533,-79.9915862,8,"2039581,2039585,2039930"
1824078,3501 Lion Run,Fairfax,VA,22030.0,38.8599249,-77.2861288,8,"2040014,2040196"
1824948,13400 Woodside Lane,Newport News,VA,23608.0,37.170753,-76.52596,8,"2039403,2039416"
1825005,1132 Wade St,Norfolk,VA,23502.0,36.8573705,-76.1937695,8,"2040825,2040826,2040847,2040865"
1825586,1760 Roanoke Boulevard,Salem,VA,24153.0,37.2752942,-80.02716389999999,8,"2041209,2041215"
1691111,310 River Rd,Beaver,AK,99724.0,63.588753,-154.4930619,7,1940782
1691119,Lower Kuskokwim School Dist,Bethel,AK,99559.0,60.7326644,-163.8954631,7,1940312
1691252,102 Main St,Holy Cross,AK,99602.0,63.588753,-154.4930619,7,1940651
1691362,89 School Rd,Marshall,AK,99585.0,63.588753,-154.4930619,7,1940316
1693768,HWY 148 AND NTERSTATE 55,BURDETTE,AR,72321.0,35.5889227,-90.1286019,7,1943728
1694200,4201 CHIEFTAIN LN,JONESBORO,AR,72401.0,35.8916172,-90.658333,7,1944485
1694201,4208 CHIEFTAIN LN,JONESBORO,AR,72401.0,35.8916172,-90.658333,7,1944487
1694747,2700 BUTTERFIELD COA,SPRINGDALE,AR,72764.0,36.2123232,-94.1085545,7,1944657
1698205,APN 304-64-878,Queen Creek,AZ,85142.0,33.2028363,-111.642224,7,1940941
1698456,27010 E Highway 70,San Carlos,AZ,85550.0,34.2503768,-93.6419352,7,"1942938,1942940"
1699261,Navajo Rt 12 and Jct. Hwy 64,Tsaile,AZ,86556.0,35.1524609,-92.5664362,7,1942080
1705305,5051 Steve St.,Jurupa Valley,CA,92509.0,33.9996052,-117.4321452,7,1949908
1705385,52755 Donner Pass Rd.,Kingvale,CA,96161.0,39.3160994,-120.4555993,7,1955458
1709864,31441 Panoche Rd.,Paicines,CA,95043.0,36.6169569,-120.9636596,7,1953050
1713965,9640 Carrisa Hwy.,Santa Margarita,CA,93453.0,35.3780989,-120.1049106,7,1947058
1717713,2300 SWEET MEADOW LANE,ERIE,CO,80516.0,40.0369992,-105.0089888,7,1956955
1720632,1150 5th St SE,Washington,DC,20003.0,38.8768979,-76.99924709999999,7,1960411
1720633,1150 Michigan Ave NE,Washington,DC,20017.0,38.93871,-76.9911515,7,1960409
1720680,1401 Michigan Ave NE,Washington,DC,20017.0,38.9420287,-76.98479859999999,7,1960352
1720869,3701 Hayes St NE,Washington,DC,20019.0,38.90137989999999,-76.94909129999999,7,"1960265,1960267"
1720891,4095 MINNESOTA AVENUE NE,Washington,DC,20019.0,38.8974957,-76.94594359999999,7,"1960268,1960525"
1720936,4600 Livingston Rd SE,Washington,DC,20032.0,38.824023,-77.0030063,7,"1960487,1960500"
1721029,7800 14th St NW,Washington,DC,20012.0,38.984657,-77.0337976,7,1960311
1721047,908 Wahler Pl SE,Washington,DC,20032.0,38.8344852,-76.9924774,7,"1960477,1960478"
1723020,21633 SE 65TH AVE,HAWTHORNE,FL,32640.0,29.5952758,-82.05486619999999,7,1960554
1723177,2329 ANCLOTE BLVD,HOLIDAY,FL,34691.0,28.1739079,-82.7744883,7,1964375
1725260,700 TERRIER PRIDE DR SW,MOORE HAVEN,FL,33471.0,27.6299431,-81.5157914,7,1962443
1726351,4800 HIGHWAY 2321,PANAMA CITY,FL,32404.0,30.1973686,-85.49941919999999,7,1960664
1729158,911 Historic Old Highway 441,Clarkesville,GA,30523.0,34.7113562,-83.4032934,7,1967006
1731621,144 SAN VICENTE AVENUE,AGAT,GU,96928.0,13.3841627,144.6578076,7,2048135
1731622,184 ERSKIN DRIVE,AGAT,GU,96928.0,13.3874565,144.6625933,7,2048151
1731626,156 CANADA TOTO ROAD,BARRIGADA,GU,96913.0,13.4673221,144.7851532,7,2048122
1731627,270 ROUTE 10,BARRIGADA,GU,96913.0,13.4655918,144.800759,7,2048150
1731628,387 E. ROUTE 8,BARRIGADA,GU,96913.0,13.4698869,144.8095714,7,2048139
1731637,237 N. CHALAN LIGUAN,DEDEDO,GU,96929.0,13.5179437,144.8272766,7,2048131
1731645,660 ROUTE 3,DEDEDO,GU,96929.0,13.5350124,144.8326862,7,2048155
1731654,130 DAIRY ROAD,MANGILAO,GU,96923.0,13.4492566,144.8018904,7,2048140
1731657,340 CARNATION AVENUE,MANGILAO,GU,96913.0,13.4922581,144.8443827,7,2048119
1731658,J.A. CRUZ AVE. PIGUA ST,MERIZO,GU,96916.0,13.2714505,144.6730516,7,2048136
1731671,182 PALE FERDINAND WAY,STA.RITA,GU,96915.0,13.3874342,144.6717345,7,2048127
1731685,395 JUAN JACINTO ROAD,YIGO,GU,96929.0,13.5287059,144.8770073,7,2048156
1731690,ROUTE 9,YIGO,GU,96929.0,13.5847199,144.8812636,7,2048137
1733397,1505 E 15th Street,Malvern,IA,51551.0,41.220556,-95.866195,7,1976568
1735207,49909 THREE CREEK ROAD,ROGERSON,ID,83302.0,42.1448595,-115.001087,7,1968939
1740371,11633 S Gate Rd,Roscoe,IL,61073.0,42.4188941,-88.9892448,7,1971872
1740372,11685 S Gate Rd,Roscoe,IL,61073.0,42.4188941,-88.9892448,7,1971869
1741443,707 W Columbus Ave,Batesville,IN,47006.0,39.3033946,-85.22752280000002,7,1973903
1741667,101 Ettel Ln,Clarksville,IN,47129.0,38.3090632,-85.7717907,7,1974062
1741682,72 E 1100 S,Clinton,IN,47842.0,39.685614,-87.4405786,7,1975368
1741725,7760 W Delphi Pk-27,Converse,IN,46919.0,40.5813368,-85.8690933,7,1975081
1742417,4770 S State Rd 162,Huntingburg,IN,47542.0,38.2471642,-86.8658214,7,1975378
1742991,69969 US 31 S,Lakeville,IN,46536.0,41.8965515,-86.317593,7,1975526
1743494,Hwy 246,Patricksburg,IN,47455.0,39.3111341,-86.9544442,7,1975446
1743510,1415 E Alford St,Petersburg,IN,47567.0,38.4755039,-87.32149079999999,7,1975131
1745830,13150 KY HWY 476,Ary,KY,41712.0,37.3773083,-83.1479438,7,1979956
1745949,123 W Hwy 221,Bledsoe,KY,40810.0,33.6737144,-82.176941,7,1979286
